列表名稱,網址
Food,https://www.ptt.cc/bbs/Food/index.html
FATE_GO,https://www.ptt.cc/bbs/FATE_GO/index.html
Soft_Job,https://www.ptt.cc/bbs/Soft_Job/index.html
Road_Running,https://www.ptt.cc/bbs/Road_Running/index.html
Brand,https://www.ptt.cc/bbs/Brand/index.html
cookclub,https://www.ptt.cc/bbs/cookclub/index.html
tabletennis,https://www.ptt.cc/bbs/tabletennis/index.html
SakaTalk,https://www.ptt.cc/bbs/SakaTalk/index.html
KanColle,https://www.ptt.cc/bbs/KanColle/index.html
Gov_owned,https://www.ptt.cc/bbs/Gov_owned/index.html
Examination,https://www.ptt.cc/bbs/Examination/index.html
DMM_GAMES,https://www.ptt.cc/bbs/DMM_GAMES/index.html
YUGIOH,https://www.ptt.cc/bbs/YUGIOH/index.html
DIABLO,https://www.ptt.cc/bbs/DIABLO/index.html
Digitalhome,https://www.ptt.cc/bbs/Digitalhome/index.html
bicycle,https://www.ptt.cc/bbs/bicycle/index.html
Key_Mou_Pad,https://www.ptt.cc/bbs/Key_Mou_Pad/index.html
Guardians,https://www.ptt.cc/bbs/Guardians/index.html
KoreanPop,https://www.ptt.cc/bbs/KoreanPop/index.html
Chiayi,https://www.ptt.cc/bbs/Chiayi/index.html
points,https://www.ptt.cc/bbs/points/index.html
XBOX,https://www.ptt.cc/bbs/XBOX/index.html
BikerShop,https://www.ptt.cc/bbs/BikerShop/index.html
studyteacher,https://www.ptt.cc/bbs/studyteacher/index.html
